Name,AVG_Danceability,AVG_Mood,AVG_Energy,Explicit_Count,Clean_Count
21 Savage,0.766,0.371,0.594,136,55
Ariana Grande,0.635,0.453,0.635,77,224
Bad Bunny,0.753,0.484,0.666,159,72
Billie Eilish,0.621,0.294,0.389,6,64
Drake,0.654,0.355,0.564,449,463
Ed Sheeran,0.697,0.491,0.614,7,30
Eminem,0.709,0.535,0.728,499,312
Future,0.732,0.394,0.587,488,359
Jung Kook,0.758,0.678,0.68,2,11
Junior H,0.666,0.593,0.78,1,21
Justin Bieber,0.63,0.495,0.659,12,38
KAROL G,0.762,0.529,0.743,4,5
Kanye West,0.61,0.439,0.626,181,220
Lana Del Rey,0.467,0.273,0.499,75,210
Peso Pluma,0.801,0.751,0.688,3,0
Rihanna,0.634,0.464,0.713,135,423
SZA,0.656,0.366,0.62,25,23
Taylor Swift,0.601,0.416,0.554,66,880
The Weeknd,0.576,0.346,0.615,166,311
Travis Scott,0.714,0.377,0.647,167,110
