Track_Name,Name
My Love Mine All Mine,Mitski
Perro Negro,Bad Bunny
Monaco,Bad Bunny
Que Onda,Calle 24
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish
"One Of The Girls (With Jennie, Lily Rose Depp)",The Weeknd
Is It Over Now? (Taylor'S Version) (From The Vault),Taylor Swift
Fukumean,Gunna
Flowers,Miley Cyrus
Idgaf (Feat. Yeat),Drake
You’Re Losing Me (From The Vault),Taylor Swift
I Know ?,Travis Scott
Popular (With Playboi Carti & Madonna) - Music From The Hbo Original Series,The Weeknd
First Person Shooter (Feat. J. Cole),Drake
Now That We Don'T Talk (Taylor'S Version) (From The Vault),Taylor Swift
Fina,Bad Bunny
"""Slut!"" (Taylor'S Version) (From The Vault)",Taylor Swift
Can’T Catch Me Now - From The Hunger Games: The Ballad Of Songbirds & Snakes,Olivia Rodrigo
Say Yes To Heaven,Lana Del Rey
Fe!N (Feat. Playboi Carti),Travis Scott
