track_name,name,release_year,track_popularity
All I Want For Christmas Is You,Mariah Carey,1994.0,99.0
Jingle Bell Rock,Bobby Helms,1957.0,93.0
Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,1980.0,90.0
The Christmas Song (Merry Christmas To You),Nat King Cole,1962.0,90.0
Creep,Radiohead,1993.0,89.0
Let It Snow! Let It Snow! Let It Snow! (With The B. Swanson Quartet),Frank Sinatra,1994.0,89.0
Do They Know It'S Christmas? - 1984 Version,Band Aid,1984.0,88.0
Losing My Religion,R.E.M.,1991.0,87.0
Everlong,Foo Fighters,1997.0,87.0
Deck The Halls,Nat King Cole,1962.0,87.0
Under The Bridge,Red Hot Chili Peppers,1991.0,87.0
Jingle Bells - Remastered 1999,Frank Sinatra,1957.0,87.0
Christmas (Baby Please Come Home),Mariah Carey,1994.0,87.0
Africa,TOTO,1982.0,86.0
Santa Claus Is Coming To Town,The Jackson 5,1970.0,86.0
Please Come Home For Christmas - 2013 Remaster,Eagles,1978.0,86.0
Scar Tissue,Red Hot Chili Peppers,1999.0,86.0
Californication,Red Hot Chili Peppers,1999.0,86.0
Sweet Dreams (Are Made Of This) - Remastered,Eurythmics,1983.0,85.0
"Santa Claus Is Comin' To Town - Live At C.W. Post College, Greenvale, Ny - December 1975",Bruce Springsteen,1981.0,85.0
