Name,Followers,Popularity_Score,AVG_Danceability,AVG_Mood,AVG_Energy,Explicit_Count,Clean_Count
Taylor Swift,95859165,100,0.601,0.416,0.554,66,880
Drake,83298497,95,0.654,0.355,0.564,449,463
Bad Bunny,77931484,95,0.753,0.484,0.666,159,72
The Weeknd,75945958,93,0.576,0.346,0.615,166,311
Travis Scott,25672786,90,0.714,0.377,0.647,167,110
Kanye West,22582692,90,0.61,0.439,0.626,181,220
Peso Pluma,9775920,90,0.801,0.751,0.688,3,0
Eminem,79891173,89,0.709,0.535,0.728,499,312
Lana Del Rey,30603103,89,0.467,0.273,0.499,75,210
Jung Kook,11781452,89,0.758,0.678,0.68,2,11
Ariana Grande,95710972,88,0.635,0.453,0.635,77,224
Justin Bieber,75112165,88,0.63,0.495,0.659,12,38
Rihanna,59152035,88,0.634,0.464,0.713,135,423
KAROL G,42614177,88,0.762,0.529,0.743,4,5
SZA,16347096,88,0.656,0.366,0.62,25,23
21 Savage,15923488,88,0.766,0.371,0.594,136,55
Future,15561872,88,0.732,0.394,0.587,488,359
Junior H,12321049,88,0.666,0.593,0.78,1,21
Ed Sheeran,115998928,87,0.697,0.491,0.614,7,30
Billie Eilish,89996504,87,0.621,0.294,0.389,6,64
